"COG20_FUNCTION_accession" "COG20_FUNCTION_function." "COG20_CATEGORY_accession" "COG20_CATEGORY_function."
"1926" "COG1561" "Uncharacterized stationary-phase protein YicC, UPF0701 family (YicC) (PUBMED:1925027)" "S" "Function unknown"
"1927" "COG3638" "ABC-type phosphate/phosphonate transport system, ATPase component (PhnC)" "P" "Inorganic ion transport and metabolism"
"1928" "COG3979" "Chitodextrinase (PDB:1WVU)" "G" "Carbohydrate transport and metabolism"
"1929" "COG1592" "Rubrerythrin (YotD) (PDB:1B71)" "C" "Energy production and conversion"
"1930" "COG5768" "Cyanobacterial response regulator with REC-Ycf55 domain architecture (Ycf55) (PUBMED:16740923)" "C" "Energy production and conversion"
"1931" "COG3431" "Uncharacterized membrane protein, DUF373 family" "S" "Function unknown"
"1932" "COG3502" "Uncharacterized conserved protein, DUF952 family (PDB:2JQN)" "S" "Function unknown"
"1933" "COG1359" "Quinol monooxygenase YgiN (YgiN) (PDB:1R6Y) (PUBMED:15613473)" "C" "Energy production and conversion"
"1934" "COG4243" "Vitamin K epoxide reductase (VKOR) family protein, predicted involvement in disulfide bond formation (PDB:3KP9) (PUBMED:24576574)" "R" "General function prediction only"
"1935" "COG3686" "Uncharacterized conserved protein, MAPEG superfamily" "S" "Function unknown"
"1936" "COG0254" "Ribosomal protein L31 (RpmE) (PDB:1VS6)" "J" "Translation, ribosomal structure and biogenesis"
"1937" "COG4976" "Predicted methyltransferase, contains TPR repeat" "R" "General function prediction only"
"1938" "COG0784" "CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)" "T" "Signal transduction mechanisms"
"1939" "COG1206" "Folate-dependent tRNA-U54 methylase TrmFO/GidA (TrmFO) (PUBMED:16027442)" "J" "Translation, ribosomal structure and biogenesis"
"1940" "COG3021" "Uncharacterized conserved protein YafD, endonuclease/exonuclease/phosphatase (EEP) superfamily (YafD)" "R" "General function prediction only"
"1941" "COG4266" "Allantoicase (Alc) (PDB:1O59)" "F" "Nucleotide transport and metabolism"
"1942" "COG0081" "Ribosomal protein L1 (RplA) (PDB:3J65)" "J" "Translation, ribosomal structure and biogenesis"
"1943" "COG2244" "Membrane protein involved in the export of O-antigen and teichoic acid (RfbX)" "M" "Cell wall/membrane/envelope biogenesis"
"1944" "COG1972" "Nucleoside permease NupC (NupC) (PDB:3TIJ)" "F" "Nucleotide transport and metabolism"
"1945" "COG0744" "Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase (MrcB) (PDB:3FWL)" "M" "Cell wall/membrane/envelope biogenesis"
"1946" "COG1510" "DNA-binding transcriptional regulator GbsR, MarR family (GbsR) (PDB:1KU9)" "K" "Transcription"
"1947" "COG1734" "RNA polymerase-binding transcription factor DksA (DksA) (PDB:1TJL)" "K" "Transcription"
"1948" "COG1469" "GTP cyclohydrolase FolE2 (FolE2) (PDB:2R5R) (PUBMED:19767425)" "H" "Coenzyme transport and metabolism"
"1949" "COG1200" "RecG-like helicase (RecG) (PDB:1GM5)" "L" "Replication, recombination and repair"
"1950" "COG0455" "MinD-like ATPase FlhG/YlxH, activator of the FlhF-type GTPase (FlhG) (PDB:1G3Q)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1951" "COG1191" "DNA-directed RNA polymerase specialized sigma subunit (FliA) (PDB:1RP3)" "K" "Transcription"
"1952" "COG2139" "Ribosomal protein L21E (RPL21A) (PDB:4BYN)" "J" "Translation, ribosomal structure and biogenesis"
"1953" "COG3800" "Predicted transcriptional regulator (PDB:6CYJ)" "R" "General function prediction only"
"1954" "COG5640" "Secreted trypsin-like serine protease" "O" "Posttranslational modification, protein turnover, chaperones"
"1955" "COG1230" "Co/Zn/Cd efflux system component (CzcD)" "P" "Inorganic ion transport and metabolism"
"1956" "COG2209" "Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE (NqrE) (PDB:4P6V)" "C" "Energy production and conversion"
"1957" "COG1347" "Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD (NqrD) (PDB:4P6V)" "C" "Energy production and conversion"
"1958" "COG2869" "Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC (NqrC) (PDB:4P6V)" "C" "Energy production and conversion"
"1959" "COG4681" "Uncharacterized conserved protein YaeQ, suppresses RfaH defect (YaeQ) (PDB:2G3W) (PUBMED:9604894;32214543)" "S" "Function unknown"
"1960" "COG0332" "3-oxoacyl-[acyl-carrier-protein] synthase III (FabH) (PDB:1UB7)" "I" "Lipid transport and metabolism"
"1961" "COG0127" "Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family (RdgB) (PDB:1B78)" "F" "Nucleotide transport and metabolism"
"1962" "COG1836" "Cytidylyltransferase family enzyme (PUBMED:25583072)" "R" "General function prediction only"
"1963" "COG4654" "Cytochrome c551/c552 (CytC552) (PDB:2ZXY)" "C" "Energy production and conversion"
"1964" "COG3147" "Cell division protein DedD (periplasmic protein involved in septation) (DedD)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1965" "COG3267" "Type II secretory pathway ATPase component GspA/ExeA/MshM (ExeA) (PUBMED:21378198)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"1966" "COG0447" "1,4-Dihydroxy-2-naphthoyl-CoA synthase (MenB) (PDB:4ELS)" "H" "Coenzyme transport and metabolism"
"1967" "COG3508" "Homogentisate 1,2-dioxygenase (HmgA) (PDB:1EY2)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"1968" "COG3915" "Uncharacterized conserved protein" "S" "Function unknown"
"1969" "COG3660" "Mitochondrial fission protein ELM1 (ELM1)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1970" "COG3975" "Predicted metalloprotease, contains C-terminal PDZ domain (PDB:4FGM)" "R" "General function prediction only"
"1971" "COG3853" "Uncharacterized conserved protein YaaN involved in tellurite resistance (YaaN)" "V" "Defense mechanisms"
"1972" "COG4944" "Uncharacterized conserved protein" "S" "Function unknown"
"1973" "COG0861" "Tellurite resistance membrane protein TerC (TerC)" "P" "Inorganic ion transport and metabolism"
"1974" "COG4630" "Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA (XdhA)" "F" "Nucleotide transport and metabolism"
"1975" "COG0334" "Glutamate dehydrogenase/leucine dehydrogenase (GdhA) (PDB:1B3B) (PUBMED:24391520)" "E" "Amino acid transport and metabolism"
"1976" "COG3214" "DNA glycosylase YcaQ, repair of DNA interstrand crosslinks (YcaQ) (PUBMED:32409837)" "L" "Replication, recombination and repair"
"1977" "COG0828" "Ribosomal protein S21 (RpsU) (PDB:4V4H)" "J" "Translation, ribosomal structure and biogenesis"
"1978" "COG1512" "Uncharacterized membrane protein YgcG, contains a TPM-fold domain (YgcG) (PDB:2KW7)" "S" "Function unknown"
"1979" "COG1934" "Lipopolysaccharide export system protein LptA (LptA) (PDB:2R19)" "M" "Cell wall/membrane/envelope biogenesis"
"1980" "COG1246" "N-acetylglutamate synthase or related acetyltransferase, GNAT family (ArgA) (PDB:2R98)" "E" "Amino acid transport and metabolism"
"1981" "COG3181" "Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC (TctC) (PDB:2DVZ)" "C" "Energy production and conversion"
"1982" "COG2240" "Pyridoxal/pyridoxine/pyridoxamine kinase (PdxK) (PDB:5ZW9) (PUBMED:19096365;23189126)" "H" "Coenzyme transport and metabolism"
"1983" "COG2188" "DNA-binding transcriptional regulator, GntR family (MngR) (PDB:2WV0)" "K" "Transcription"
"1984" "COG3624" "Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG (PhnG) (PDB:4XB6)" "P" "Inorganic ion transport and metabolism"
"1985" "COG3625" "Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH (PhnH) (PDB:2FSU)" "P" "Inorganic ion transport and metabolism"
"1986" "COG2390" "DNA-binding transcriptional regulator LsrR, DeoR family (DeoR) (PDB:2GNP) (PUBMED:23974133;24893262)" "K" "Transcription"
"1987" "COG3631" "Ketosteroid isomerase-related protein (YesE) (PDB:1Z1S)" "R" "General function prediction only"
"1988" "COG0803" "ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA (ZnuA) (PDB:1K0F)" "P" "Inorganic ion transport and metabolism"
"1989" "COG1354" "Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family (ScpA) (PDB:3W6J)" "L" "Replication, recombination and repair"
"1990" "COG0245" "2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (IspF) (PDB:1GX1)" "I" "Lipid transport and metabolism"
"1991" "COG4225" "Rhamnogalacturonyl hydrolase YesR (YesR) (PDB:1NC5)" "G" "Carbohydrate transport and metabolism"
"1992" "COG4154" "L-fucose mutarotase/ribose pyranase, RbsD/FucU family (FucU) (PDB:2WCV)" "G" "Carbohydrate transport and metabolism"
"1993" "COG1183" "Phosphatidylserine synthase (PssA)" "I" "Lipid transport and metabolism"
"1994" "COG3897" "Protein N-terminal and lysine N-methylase, NNT1/EFM7 family (Nnt1) (PDB:3BZB) (PUBMED:23349634;26545399)" "O" "Posttranslational modification, protein turnover, chaperones"
"1995" "COG0562" "UDP-galactopyranose mutase (Glf) (PDB:1I8T)" "M" "Cell wall/membrane/envelope biogenesis"
"1996" "COG4096" "Type I site-specific restriction endonuclease, part of a restriction-modification system (HsdR) (PDB:3H1T) (PUBMED:21169490)" "V" "Defense mechanisms"
"1997" "COG1899" "Deoxyhypusine synthase (DYS1) (PDB:1DHS)" "O" "Posttranslational modification, protein turnover, chaperones"
"1998" "COG3306" "Glycosyltransferase involved in LPS biosynthesis, GR25 family" "M" "Cell wall/membrane/envelope biogenesis"
"1999" "COG1267" "Phosphatidylglycerophosphatase A (PgpA) (PDB:1RFZ)" "I" "Lipid transport and metabolism"
"2000" "COG1251" "NAD(P)H-nitrite reductase, large subunit (NirB)" "C" "Energy production and conversion"
"2001" "COG2518" "Protein-L-isoaspartate O-methyltransferase (Pcm) (PDB:3LBF) (PUBMED:24909784)" "O" "Posttranslational modification, protein turnover, chaperones"
"2002" "COG3803" "Uncharacterized conserved protein, DUF924 family (PDB:2I6H)" "S" "Function unknown"
"2003" "COG4626" "Phage terminase-like protein, large subunit, contains N-terminal HTH domain (YmfN)" "X" "Mobilome: prophages, transposons"
"2004" "COG3507" "Beta-xylosidase (XynB2) (PDB:1Y7B)" "G" "Carbohydrate transport and metabolism"
"2005" "COG2309" "Leucyl aminopeptidase (aminopeptidase T) (AmpS) (PDB:1ZJC)" "E" "Amino acid transport and metabolism"
"2006" "COG4615" "ABC-type siderophore export system, fused ATPase and permease components (PvdE)" "P" "Inorganic ion transport and metabolism"
"2007" "COG2208" "Phosphoserine phosphatase RsbU, regulator of sigma subunit (RsbU) (PDB:5UCG)" "T" "Signal transduction mechanisms"
"2008" "COG0610" "Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ... (PDB:2W00)" "V" "Defense mechanisms"
"2009" "COG2040" "Homocysteine/selenocysteine methylase (S-methylmethionine-dependent) (MHT1) (PDB:5DML)" "E" "Amino acid transport and metabolism"
"2010" "COG1452" "LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA) (LptD) (PDB:4N4R)" "M" "Cell wall/membrane/envelope biogenesis"
"2011" "COG4198" "Uncharacterized conserved protein, DUF1015 family" "S" "Function unknown"
"2012" "COG1319" "Aldehyde, CO, or xanthine dehydrogenase, FAD-binding subunit (CutB) (PDB:5Y6Q)" "C" "Energy production and conversion"
"2013" "COG3101" "Elongation factor P hydroxylase EpmC (EF-P beta-lysylation pathway) (EpmC) (PDB:3WTR)" "J" "Translation, ribosomal structure and biogenesis"
"2014" "COG0425" "Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis) (TusA) (PDB:1DCJ) (PUBMED:23894086)" "J" "Translation, ribosomal structure and biogenesis"
"2015" "COG3469" "Chitinase (Chi1) (PDB:4AXN)" "G" "Carbohydrate transport and metabolism"
"2016" "COG2145" "Hydroxyethylthiazole kinase, sugar kinase family (ThiM) (PDB:1C3Q)" "H" "Coenzyme transport and metabolism"
"2017" "COG5679" "Cytochrome b6f complex subunit IV, PetD, 17 kd cytochrome b (PetD)" "C" "Energy production and conversion"
"2018" "COG4729" "Uncharacterized conserved protein, DUF1850 family" "S" "Function unknown"
"2019" "COG0340" "Biotin-(acetyl-CoA carboxylase) ligase (BirA2) (PDB:1BIA) (PUBMED:32188788)" "H" "Coenzyme transport and metabolism"
"2020" "COG1641" "CTP-dependent cyclometallase, nickel-pincer nucleotide (NPN) cofactor biosynthesis (LarC) (PDB:3C19) (PUBMED:29887527)" "H" "Coenzyme transport and metabolism"
"2021" "COG2311" "Uncharacterized membrane protein YeiB (YeiB)" "S" "Function unknown"
"2022" "COG1626" "Neutral trehalase (TreA) (PDB:2JF4)" "G" "Carbohydrate transport and metabolism"
"2023" "COG2081" "Predicted flavoprotein YhiN (YhiN) (PDB:3V76)" "R" "General function prediction only"
"2024" "COG1329" "RNA polymerase-interacting regulator, CarD/CdnL/TRCF family (CdnL) (PDB:4ILU)" "K" "Transcription"
"2025" "COG5773" "Uncharacterized cyanobacterial/plant membrane protein Pro0765, DUF3082 (PF11282) domain (Pro0765)" "C" "Energy production and conversion"
"2026" "COG1982" "Arginine/lysine/ornithine decarboxylase (LdcC) (PDB:1C4K)" "E" "Amino acid transport and metabolism"
"2027" "COG0253" "Diaminopimelate epimerase (DapF) (PDB:1BWZ)" "E" "Amino acid transport and metabolism"
"2028" "COG2095" "Small neutral amino acid transporter SnatA, MarC family (MarC) (PUBMED:17954692;12761179)" "E" "Amino acid transport and metabolism"
"2029" "COG2972" "Sensor histidine kinase YesM (YesM)" "T" "Signal transduction mechanisms"
"2030" "COG0753" "Catalase (KatE) (PDB:6RJR)" "P" "Inorganic ion transport and metabolism"
"2031" "COG5135" "Uncharacterized conserved protein (PDB:2I51)" "S" "Function unknown"
"2032" "COG4641" "Spore maturation protein CgeB" "D" "Cell cycle control, cell division, chromosome partitioning"
"2033" "COG0503" "Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein (Apt) (PDB:1QB7)" "F" "Nucleotide transport and metabolism"
"2034" "COG2865" "Predicted transcriptional regulator, contains HTH domain (PDB:3LMM)" "K" "Transcription"
"2035" "COG0157" "Nicotinate-nucleotide pyrophosphorylase (NadC) (PDB:1O4U)" "H" "Coenzyme transport and metabolism"
"2036" "COG0356" "FoF1-type ATP synthase, membrane subunit a (AtpB) (PUBMED:22931285)" "C" "Energy production and conversion"
"2037" "COG0636" "FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K (AtpE) (PDB:1C17)" "C" "Energy production and conversion"
"2038" "COG1495" "Disulfide bond formation protein DsbB (DsbB) (PDB:2LTQ)" "O" "Posttranslational modification, protein turnover, chaperones"
"2039" "COG3067" "Na+/H+ antiporter NhaB (NhaB)" "C" "Energy production and conversion"
"2040" "COG3350" "Heavy metal-bindng TRASH/YHS domain, predicted Cu/Ag metallochaperone (YHS)" "P" "Inorganic ion transport and metabolism"
"2041" "COG3073" "RseA, negative regulator of sigma E activity (RseA) (PDB:1OR7)" "T" "Signal transduction mechanisms"
"2042" "COG0315" "Molybdenum cofactor biosynthesis enzyme MoaC (MoaC) (PDB:1EKR) (PUBMED:32239579)" "H" "Coenzyme transport and metabolism"
"2043" "COG3669" "Alpha-L-fucosidase (AfuC) (PDB:1HL8) (PUBMED:16855233)" "G" "Carbohydrate transport and metabolism"
"2044" "COG5770" "Uncharacterized cyanobacterial protein with Ycf66_N domain (Ycf66)" "C" "Energy production and conversion"
"2045" "COG3152" "Uncharacterized membrane protein YhaH, DUF805 family (yhaH)" "S" "Function unknown"
"2046" "COG4174" "ABC-type microcin C transport system, permease component YejB (YejB) (PUBMED:17873039)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"2047" "COG0319" "ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme (YbeY) (PDB:1XM5) (PUBMED:17407324;23543739)" "J" "Translation, ribosomal structure and biogenesis"
"2048" "COG2268" "Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain (YqiK) (PDB:1WIN)" "S" "Function unknown"
"2049" "COG2350" "YciI superfamily enzyme, includes 5-CHQ dehydrochlorinase, contains active-site pHis (YciI) (PDB:1MWQ) (PUBMED:15779043;23955343)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"2050" "COG1134" "ABC-type polysaccharide/polyol phosphate transport system, ATPase component (TagH) (PDB:6JBH)" "G" "Carbohydrate transport and metabolism"
"2051" "COG5389" "Uncharacterized conserved protein, DUF721 domain" "S" "Function unknown"
"2052" "COG5590" "Ubiquinone biosynthesis protein COQ9" "H" "Coenzyme transport and metabolism"
"2053" "COG1744" "Lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN (Med) (PDB:2FQW) (PUBMED:21622736)" "T" "Signal transduction mechanisms"
"2054" "COG0047" "Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain (PurL2) (PDB:1T3T)" "F" "Nucleotide transport and metabolism"
"2055" "COG3435" "Gentisate 1,2-dioxygenase (PDB:3BU7)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"2056" "COG3822" "D-lyxose ketol-isomerase (YdaE) (PDB:3MPB)" "G" "Carbohydrate transport and metabolism"
"2057" "COG3158" "K+ uptake protein Kup (Kup)" "P" "Inorganic ion transport and metabolism"
"2058" "COG0448" "Glucose-1-phosphate adenylyltransferase (ADP-glucose pyrophosphorylase) (GlgC) (PDB:5MNI) (PUBMED:27545622)" "G" "Carbohydrate transport and metabolism"
"2059" "COG3103" "Uncharacterized conserved protein YgiM, contains N-terminal SH3 domain, DUF1202 family (YgiM) (PDB:2KQ8)" "R" "General function prediction only"
"2060" "COG3829" "RocR-type transcriptional regulator, contains PAS, AAA-type ATPase, and DNA-binding Fis domains (RocR)" "K" "Transcription"
"2061" "COG0383" "Alpha-mannosidase (MngB) (PDB:5KBP) (PUBMED:14645248)" "G" "Carbohydrate transport and metabolism"
"2062" "COG5330" "Uncharacterized conserved protein, DUF2336 family" "S" "Function unknown"
"2063" "COG3951" "Rod binding protein domain (FlgJ1)" "N" "Cell motility"
"2064" "COG3219" "Uncharacterized conserved protein, DUF2063 family (PDB:3DEE)" "S" "Function unknown"
"2065" "COG3814" "SspB-like protein, predicted to bind SsrA peptide (SspB2)" "O" "Posttranslational modification, protein turnover, chaperones"
"2066" "COG4454" "Uncharacterized copper-binding protein, cupredoxin-like subfamily" "R" "General function prediction only"
